,domain,ip_count,subdomain_count,number_of_domains,ip_entropy,subdomain_entropy,change_numbers,change_duration_mean,change_duration_std,change_amp,domain_len,domain_name_entropy,digit_number,digit_number_ratio,digit_group,word_group,longest_substring_ratio,left_days,alive_days,update_days,label
41,oeeee.com,2,2,51,1.0,1.0,2.0,7.5,2.5,1.0644669138490577,9,18.529325012980813,0,0.0,0,3,0.4444444444444444,5053.0,5053.0,84.0,0
42,manyvids.com,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,12,41.019550008653866,0,0.0,0,3,0.3333333333333333,2261.0,2261.0,70.0,0
43,techtarget.com,0,0,0,0.0,0.0,,,,,14,44.548081406643,0,0.0,0,2,0.7142857142857143,7187.0,7187.0,193.0,0
44,xiami.com,9,4,20,0.5529201095237966,0.75,2.0,2.0,0.0,0.0,9,24.52932501298081,0,0.0,0,2,0.5555555555555556,4772.0,4772.0,257.0,0
45,sueddeutsche.de,0,0,0,0.0,0.0,,,,,15,41.84847143196431,0,0.0,0,2,0.8,,,,0
46,plarium.com,0,0,0,0.0,0.0,,,,,11,36.05374780501027,0,0.0,0,3,0.4545454545454545,3333.0,3333.0,1909.0,0
47,dailymail.co.uk,0,0,0,0.0,0.0,1.0,2.0,0.0,5.790660241435861,15,50.60335893412777,0,0.0,0,4,0.3333333333333333,,,,0
48,royalbank.com,0,0,0,0.0,0.0,,,,,13,44.10571633583419,0,0.0,0,1,0.9230769230769232,8936.0,8936.0,540.0,0
49,ladbible.com,0,0,0,0.0,0.0,,,,,12,39.01955000865389,0,0.0,0,3,0.4166666666666667,2873.0,2873.0,68.0,0
50,leo.org,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,7,17.651484454403235,0,0.0,0,2,0.42857142857142855,9115.0,9115.0,102.0,0
51,lemonde.fr,0,0,0,0.0,0.0,,,,,10,31.21928094887362,0,0.0,0,3,0.5,0.0,267.0,0.0,0
52,gamestop.com,0,0,0,0.0,0.0,,,,,12,39.019550008653866,0,0.0,0,2,0.6666666666666666,8063.0,8063.0,396.0,0
53,xunlei.com,177,43,472,0.6946062735573283,0.6635507625911409,2.0,2.0,0.0,0.0,10,33.219280948873624,0,0.0,0,3,0.3,5606.0,5606.0,59.0,0
54,telegraf.com.ua,0,0,0,0.0,0.0,,,,,15,52.60335893412777,0,0.0,0,4,0.26666666666666666,,,,0
55,bamilo.com,0,0,0,0.0,0.0,,,,,10,29.21928094887362,0,0.0,0,3,0.5,1872.0,1872.0,45.0,0
56,shutterstock.com,0,0,0,0.0,0.0,4.0,2.25,0.4330127018922193,0.8175868433463921,16,53.24511249783653,0,0.0,0,2,0.75,5793.0,5793.0,240.0,0
57,ruten.com.tw,0,0,0,0.0,0.0,,,,,12,39.019550008653866,0,0.0,0,3,0.4166666666666667,,,,0
58,privatbank.ua,0,0,0,0.0,0.0,,,,,13,43.35082883367073,0,0.0,0,3,0.4615384615384616,,,,0
59,xiaomi.com,168,20,85,0.6751753297632295,0.6267330020522786,2.0,2.0,0.0,0.0,10,27.21928094887362,0,0.0,0,2,0.5,5781.0,5781.0,3525.0,0
